,1st flr sf,2nd flr sf,bedroom abvgr,bldg type,bsmt full bath,bsmt half bath,central air,condition 1,condition 2,electrical,enclosed porch,exter cond,exter qual,exterior 1st,exterior 2nd,fireplaces,full bath,functional,garage cars,gr liv area,half bath,heating,heating qc,id,kitchen abvgr,kitchen qual,land contour,land slope,lot area,lot config,lot shape,ms subclass,ms zoning,open porch sf,overall cond,overall qual,paved drive,roof matl,roof style,saleprice,screen porch,street,totrms abvgrd,total bsmt sf,utilities,wood deck sf,year built,year remod/add,baths,overall,outside area,condition,exter_net_quality,exterior cover,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker,foundation_cblock,foundation_pconc,foundation_slab,foundation_stone,foundation_wood,house style_1.5unf,house style_1story,house style_2.5fin,house style_2.5unf,house style_2story,house style_sfoyer,house style_slvl
10,483,504,2,1,0.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,1.0,987,1,0,1,1044,1,1,Lvl,0,1680,Inside,0,160,0,0,5,6,0,0,1,85400.0,0,0,4,483.0,0,0,1971,1971,2.0,30,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11,1208,0,2,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1208,0,0,1,2752,1,1,Lvl,0,7488,Inside,0,20,0,58,5,7,0,0,1,183600.0,0,0,6,1208.0,0,105,2005,2005,2.0,35,163,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12,1288,728,4,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,1,2.0,2016,0,0,1,807,1,1,Bnk,0,26400,FR2,0,70,0,0,7,5,1,0,1,131000.0,0,0,7,0.0,0,0,1880,2007,1.0,35,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13,962,645,3,1,1.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1607,1,0,1,1177,1,1,Lvl,0,2645,Inside,0,160,0,0,5,8,0,0,1,200000.0,0,0,7,960.0,0,169,1999,2000,4.0,40,169,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14,1361,0,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1361,0,0,1,1480,1,1,Lvl,0,9627,Inside,0,20,0,50,5,7,0,0,1,193000.0,0,0,6,1351.0,0,0,2007,2007,2.0,35,50,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
15,1430,0,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1430,0,0,1,324,1,1,Lvl,0,10114,Inside,0,20,0,0,5,5,0,0,1,173500.0,0,0,7,1430.0,0,0,2004,2005,2.0,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
16,624,720,4,0,0.0,0.0,1,1,1,0,96,1,1,0,0,0,1,0,3.0,1344,0,0,0,1311,1,1,Lvl,0,4571,Inside,0,70,0,0,5,5,0,0,1,98000.0,0,0,7,624.0,0,0,1916,1950,1.0,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,1121,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,2.0,1121,0,0,1,770,1,1,Lvl,0,8816,Corner,0,20,0,80,6,5,0,0,1,139000.0,0,0,5,1121.0,0,0,1963,1963,2.0,30,80,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,1285,0,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,2.0,1285,1,0,1,2063,1,1,Lvl,0,8197,Inside,0,20,0,0,5,6,0,0,1,143500.0,0,0,7,660.0,0,138,1977,1977,2.0,30,138,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
19,764,783,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1547,1,0,1,69,1,1,Lvl,0,8640,Inside,0,60,0,45,5,7,0,0,1,215200.0,0,0,7,756.0,0,169,2009,2009,3.0,35,214,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,894,0,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,2.0,894,0,0,1,2062,1,1,Lvl,0,8724,Inside,0,20,0,0,5,5,0,0,1,129000.0,0,0,5,894.0,0,0,1968,1968,1.0,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,1659,0,2,1,1.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,2.0,1659,0,0,1,351,1,1,Lvl,0,5664,Inside,0,120,0,59,5,8,0,0,1,278000.0,0,0,5,1501.0,0,212,2000,2000,3.0,40,271,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,1209,1044,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,2.0,2253,1,0,1,2393,1,1,Lvl,0,12867,Corner,0,60,0,142,5,8,0,0,1,344133.0,0,0,8,1209.0,0,243,2005,2006,3.0,40,385,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,1187,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1187,0,0,1,12,1,1,Lvl,0,7980,Inside,0,20,0,21,7,6,0,0,1,185000.0,0,0,6,1168.0,0,483,1992,2007,3.0,42,504,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24,1056,0,3,1,1.0,0.0,1,1,1,0,0,1,1,1,1,0,1,0,2.0,1056,0,0,1,2339,1,1,Bnk,0,34650,Inside,0,190,0,0,5,5,0,0,1,145000.0,0,0,5,1056.0,0,264,1955,1955,2.0,25,264,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,1453,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,2.0,1453,0,0,1,624,1,1,Lvl,0,10573,Corner,0,20,0,49,6,6,0,0,1,187500.0,288,0,6,1453.0,0,0,1961,1961,3.0,36,337,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26,894,0,3,0,1.0,0.0,0,0,1,0,0,1,1,1,1,1,1,0,1.0,894,0,0,1,86,1,1,Lvl,0,8450,Inside,0,20,0,144,8,5,0,0,1,138500.0,0,0,5,894.0,0,416,1965,2009,2.0,40,560,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27,1265,673,4,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,2,1,1.0,1938,0,0,1,1534,1,1,HLS,1,11700,Inside,0,50,0,40,6,5,0,0,1,198000.0,0,0,7,942.0,0,0,1937,1995,2.0,30,40,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1034,957,4,1,0.0,0.0,1,1,1,0,133,1,1,1,1,0,2,0,0.0,1991,0,0,0,2243,2,1,Lvl,0,8250,Inside,0,190,1,0,6,5,1,0,1,119600.0,0,0,9,957.0,0,0,1895,2006,2.0,30,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
29,672,252,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,2.0,924,0,0,1,1957,1,1,Lvl,0,8064,Corner,0,50,0,0,7,5,0,0,1,122900.0,0,0,6,672.0,0,0,1949,2006,1.0,35,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,2524,0,4,0,1.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,2.0,2524,1,0,1,380,1,1,Lvl,0,9600,Inside,0,20,0,120,5,8,0,1,1,278000.0,0,0,9,2524.0,0,474,1981,1981,4.0,40,594,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31,792,725,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,2,1,0,2.0,1517,0,0,0,2860,1,1,HLS,1,11435,Corner,0,70,0,0,7,8,0,0,1,230000.0,0,0,7,792.0,0,0,1929,1950,1.0,56,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,1494,0,2,1,1.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,2.0,1494,1,0,1,2517,1,1,Lvl,0,9549,CulDSac,0,120,0,30,5,8,0,0,1,270000.0,216,0,6,1494.0,0,0,1995,1996,3.0,40,246,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
33,948,0,2,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,2.0,948,0,0,1,1933,1,1,Lvl,0,10950,Inside,0,20,0,48,6,6,1,0,1,125000.0,0,0,5,948.0,0,0,1952,1952,1.0,36,48,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,1718,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,3.0,1718,0,0,1,820,1,1,Lvl,0,10637,Inside,0,20,0,44,5,8,0,0,1,297000.0,0,0,7,1705.0,0,208,2007,2008,3.0,40,252,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
35,1142,0,2,0,0.0,0.0,0,1,1,0,64,1,1,1,1,1,1,0,1.0,1142,0,0,0,675,1,1,HLS,1,9000,Inside,0,20,0,28,6,6,0,1,0,113500.0,0,0,5,160.0,0,0,1958,1958,1.0,36,28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,925,550,4,1,0.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,1.0,1475,0,0,1,2910,1,1,Lvl,0,2665,Inside,0,160,0,26,6,5,0,0,1,127000.0,0,0,6,757.0,0,104,1977,1977,2.0,30,130,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,1844,0,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,2.0,1844,0,0,1,21,1,1,Lvl,0,11751,Inside,0,20,0,122,6,6,0,0,1,190000.0,0,0,7,1844.0,0,0,1977,1977,2.0,36,122,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
38,1242,0,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,2.0,1242,1,0,0,1873,1,1,Lvl,0,9600,Inside,0,20,0,0,6,7,0,0,1,175500.0,0,0,6,1242.0,0,0,1973,1973,2.0,42,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
39,990,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,1.0,990,0,0,1,2125,1,1,Lvl,0,8428,Inside,1,20,0,0,7,5,0,0,1,146000.0,0,0,5,990.0,0,256,1994,1994,2.0,35,256,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40,1256,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,1.0,1256,1,0,1,1489,1,1,Lvl,0,9937,Inside,0,20,0,68,6,5,0,0,1,147500.0,0,0,6,1256.0,0,736,1965,1965,3.0,30,804,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
41,2076,0,2,0,1.0,0.0,0,1,1,0,0,1,1,1,1,1,2,0,3.0,2076,1,0,1,2383,1,1,Lvl,0,13891,Inside,0,20,0,229,5,10,0,0,1,465000.0,0,0,7,2076.0,0,216,2006,2006,4.0,50,445,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
42,1110,0,1,0,1.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,2.0,1110,0,0,1,983,1,1,Lvl,0,9101,Corner,0,85,0,30,6,5,0,0,1,165500.0,0,0,4,1097.0,0,303,1978,1978,2.0,30,333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
43,1050,745,4,0,0.0,0.0,1,1,1,1,0,1,1,1,1,0,2,0,1.0,1795,0,0,1,1325,1,1,Lvl,0,12150,Inside,0,50,0,0,5,5,0,0,1,131500.0,0,0,7,1050.0,0,0,1954,1954,2.0,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1040,0,3,0,1.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,1.0,1040,0,0,1,1378,1,1,Lvl,0,11200,Inside,0,20,0,0,5,5,0,0,1,129500.0,0,0,5,1040.0,0,0,1965,1965,2.0,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,983,890,4,0,0.0,0.0,0,1,1,0,207,1,1,1,1,2,1,0,2.0,1873,1,0,1,1537,1,1,HLS,1,9670,Inside,0,70,0,0,6,8,0,0,1,257076.0,0,0,9,608.0,0,0,1935,1950,2.0,48,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
46,984,620,3,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,1,2.0,1604,0,0,1,905,1,1,Lvl,0,10998,Inside,0,50,0,68,5,5,0,0,1,117000.0,0,0,6,984.0,0,0,1941,1960,2.0,25,68,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,851,651,3,0,0.0,0.0,0,1,1,0,112,0,1,1,1,1,1,0,1.0,1502,1,0,1,1532,1,1,HLS,1,7200,Inside,0,70,0,0,6,7,1,0,1,149000.0,0,0,6,776.0,0,0,1931,2000,2.0,42,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,1063,0,3,0,1.0,0.0,0,1,1,0,164,1,1,1,1,0,1,0,1.0,1063,0,0,1,132,1,1,Lvl,0,9920,Inside,0,20,0,0,5,5,0,0,1,128000.0,0,0,6,1056.0,0,0,1954,1954,2.0,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,764,862,2,1,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1626,1,0,1,1078,1,1,Lvl,0,2448,Inside,0,160,0,27,5,7,0,0,1,155000.0,0,0,6,764.0,0,0,2003,2004,3.0,35,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50,768,756,2,1,0.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1524,1,0,1,2511,1,1,Lvl,0,2998,Inside,0,160,0,32,5,6,0,0,1,166000.0,0,0,4,756.0,0,0,2000,2000,3.0,30,32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
51,1328,653,4,0,1.0,0.0,0,1,1,0,0,1,1,1,1,2,2,1,2.0,1981,0,0,1,912,1,1,Lvl,0,7804,Inside,0,50,0,44,3,4,0,0,1,135000.0,0,0,7,1122.0,0,431,1928,1950,3.0,12,475,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1392,1392,5,0,1.0,0.0,0,0,1,0,0,1,1,1,1,2,3,0,2.0,2784,1,0,1,2351,1,1,Lvl,0,16692,Inside,0,60,0,112,5,7,0,0,1,250000.0,440,0,12,1392.0,0,0,1978,1978,5.0,35,552,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
53,546,546,3,1,0.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,0.0,1092,1,0,1,330,1,1,Lvl,0,1476,Inside,0,160,0,26,7,4,0,0,1,76000.0,0,0,5,546.0,0,200,1970,1970,2.0,28,226,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54,1575,0,2,0,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,2.0,1575,1,0,1,2586,1,1,Lvl,0,10170,Corner,0,20,0,0,6,6,0,0,1,155000.0,0,0,5,216.0,0,0,1951,1951,2.0,36,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
55,663,689,4,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,1,0,1.0,1352,1,0,1,224,1,1,Lvl,0,9364,Corner,0,60,0,36,7,6,0,0,1,158000.0,0,0,7,663.0,0,379,1969,1969,2.0,42,415,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
56,600,600,2,1,1.0,0.0,0,1,1,0,0,1,1,1,1,0,2,0,2.0,1200,1,0,1,98,1,1,Lvl,0,2544,Inside,0,160,0,172,5,7,0,0,1,149500.0,0,0,4,600.0,0,0,2004,2005,4.0,35,172,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57,936,0,2,0,0.0,0.0,0,1,1,1,160,1,1,1,1,0,1,0,1.0,936,0,0,1,2565,1,1,Lvl,0,9888,Inside,0,20,0,0,6,5,0,0,1,121000.0,0,0,5,936.0,0,0,1954,1975,1.0,30,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
58,1040,0,3,0,0.0,1.0,0,1,1,1,0,1,1,1,1,0,1,0,1.0,1040,0,0,1,1934,1,1,Lvl,0,7942,Inside,0,20,0,0,7,6,0,0,1,136000.0,0,0,6,1040.0,0,0,1953,1953,2.0,42,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
